Id;TipoOperacion;Region;Comuna;EstaPublicada;EstaEliminada;CodigoPropiedad;Dormitorios;Banos;AñoConstruccion;FechaPublicacionDespliegue;MetrosUtiles;MetrosConstruidos;MetrosTerreno;MetrosTerraza;PrecioDesde;PrecioHasta;PrecioPesos;PrecioUF;Latitud;Longitud;CantidadVisitas;CantidadFavoritos;CantidadInteresados;Exitosa;NombreCorredora;UriFicha
542998;Venta Nuevo;Metropolitana;Ñuñoa;true;false;;2;2;0;30-03-2016;64.35;77.6;77.6;0.0;5050.0;5050.0;1.39207239E8;5050.0;-33.457973;-70.590048;12739;50;3509;true;;http://www.ialtura.cl/sj278.php
1093213;Venta Nuevo;Metropolitana;Las Condes;true;false;;3;4;0;04-10-2018;296.46;388.32;388.32;0.0;43683.0;43683.0;1.204156404E9;43683.0;-33.3762;-70.501127;212;0;23;true;;http://www.magal.cl/proyectos/edificio-san-jose-de-la-sierra
1147177;Venta Nuevo;Metropolitana;Las Condes;true;false;;2;2;0;27-12-2018;99.89;117.22;117.22;0.0;10022.0;10022.0;2.76264347E8;10022.0;-33.420531;-70.565116;21;0;9;true;;www.camargoplaza.cl/
354616;Venta Nuevo;Metropolitana;San Miguel;true;false;;2;1;0;06-03-2015;43.81;48.42;48.42;0.0;2418.0;2418.0;6.665408E7;2418.0;-33.486516;-70.647274;15868;71;10927;true;;
379078;Venta Nuevo;Metropolitana;San Miguel;true;false;;1;1;0;12-05-2015;34.55;38.33;38.33;0.0;1815.0;1815.0;5.0031908E7;1815.0;-33.504139;-70.65638;10188;54;5757;true;;
795340;Venta Nuevo;Metropolitana;San Miguel;true;false;;2;2;0;15-05-2017;47.5;51.6;51.6;0.0;2567.0;2567.0;7.0761382E7;2567.0;-33.507975;-70.658772;4542;13;2836;true;;
489167;Venta Nuevo;Metropolitana;Ñuñoa;true;false;;1;1;0;18-12-2015;32.85;39.51;39.51;0.0;2890.0;2890.0;7.9665133E7;2890.0;-33.463128;-70.598321;15102;112;10075;true;;
785833;Venta Nuevo;Metropolitana;San Miguel;true;false;;1;1;0;03-05-2017;4.37;37.12;37.12;0.0;1859.0;1859.0;5.1244803E7;1859.0;-33.508927;-70.659134;2271;28;1567;true;;
816412;Venta Nuevo;Metropolitana;San Miguel;true;false;;1;1;0;14-06-2017;37.7;41.9;41.9;0.0;2007.0;2007.0;5.532454E7;2007.0;-33.504979;-70.658043;1581;11;876;true;;
723776;Venta Nuevo;Metropolitana;Vitacura;true;false;;2;2;0;18-01-2017;80.15;102.38;102.38;0.0;10480.0;10480.0;2.88889479E8;10480.0;-33.39757;-70.575605;1818;6;784;true;;
1131716;Venta Nuevo;Metropolitana;San Miguel;true;false;;1;1;0;06-12-2018;36.52;38.66;38.66;0.0;1970.0;1970.0;5.4304606E7;1970.0;-33.505808;-70.657302;154;1;129;true;;http://www.dmbchile.cl/?p=edificio-3ra-avenida
800614;Venta Nuevo;Metropolitana;San Miguel;true;false;;1;1;0;23-05-2017;31.87;36.07;36.07;0.0;1842.0;1842.0;5.0776185E7;1842.0;-33.5095;-70.653668;10681;54;7786;true;;
989915;Venta Nuevo;Metropolitana;Santiago;true;false;;1;1;0;17-04-2018;26.34;26.34;26.34;0.0;1811.0;1811.0;4.9921645E7;1811.0;-33.452174;-70.672464;6118;31;3428;true;;
869119;Venta Nuevo;Metropolitana;San Miguel;true;false;;1;1;0;02-10-2017;33.76;40.21;40.21;0.0;2045.0;2045.0;5.637204E7;2045.0;-33.486769;-70.647001;2591;31;2062;true;;
721211;Venta Nuevo;Metropolitana;San Miguel;true;false;;1;1;0;10-01-2017;35.9;40.1;40.1;0.0;1898.0;1898.0;5.2319869E7;1898.0;-33.509275;-70.654477;2650;19;1760;true;;
